
03/06/20 12:42:21:8463,0,0,0,0
03/06/20 12:42:57:2640,72,71,75,72
03/06/20 12:43:01:5970,6,2,20,21
03/06/20 12:43:06:2105,31,23,48,12
03/06/20 12:43:14:6847,7,14,18,7
03/06/20 12:43:14:7048,66,66,66,64
03/06/20 12:43:14:7547,63,67,64,65
03/06/20 12:44:09:6603,0,0,0,0
03/06/20 12:44:43:6608,34,33,34,32
03/06/20 12:44:49:8440,11,11,10,11
03/06/20 12:45:17:9573,0,0,0,0
03/06/20 12:45:31:4313,49,48,49,49
03/06/20 12:45:33:1223,48,49,49,49
03/06/20 12:45:33:4285,3,6,8,3
03/06/20 12:45:36:5456,4,6,10,5
03/06/20 12:45:37:6366,49,48,50,49
03/06/20 12:45:37:9383,51,50,50,50
03/06/20 12:45:40:1435,48,47,48,47
03/06/20 12:45:40:3284,50,50,51,49
03/06/20 12:45:41:0147,38,37,39,36
03/06/20 12:45:42:9711,2,4,4,1
03/06/20 12:45:44:5174,21,23,18,4
03/06/20 12:45:45:7864,49,48,48,48
03/06/20 12:45:47:3802,18,19,15,0
03/06/20 12:45:48:0663,40,39,41,40
03/06/20 12:45:48:5833,13,13,31,18
03/06/20 12:45:49:5702,51,49,49,50
03/06/20 12:47:00:2681,0,0,0,0
03/06/20 12:47:27:8101,25,25,19,23
03/06/20 12:49:56:7168,35,36,38,35
03/06/20 12:49:57:3062,35,47,46,46
03/06/20 12:49:59:1176,49,48,49,48
03/06/20 12:49:59:3024,50,49,48,49
03/06/20 12:50:00:5105,51,50,50,48
03/06/20 12:50:01:2122,50,49,50,49
03/06/20 12:50:03:9133,3,4,6,4
03/06/20 12:50:05:1117,47,49,43,47
03/06/20 12:50:05:3278,48,50,48,50
03/06/20 12:50:06:8313,16,15,2,0
03/06/20 12:50:08:5319,49,48,50,48
03/06/20 12:50:11:5397,50,49,49,49
03/06/20 12:50:11:7502,50,50,51,48
03/06/20 12:50:16:1815,48,48,49,49
03/06/20 12:50:16:1815,47,50,50,49
03/06/20 12:50:40:8700,4,6,3,1
03/06/20 12:50:51:5084,47,47,49,47
03/06/20 12:50:57:8888,49,48,50,49
03/06/20 12:50:59:4704,47,48,49,49
03/06/20 12:51:23:2646,49,49,50,50
03/06/20 12:51:23:3962,49,48,50,49
03/06/20 12:51:26:5064,48,49,49,49
03/06/20 12:52:24:0849,0,0,0,0
03/06/20 12:53:04:0562,48,49,49,47
03/06/20 12:56:07:5076,0,0,0,0
03/06/20 12:56:13:6228,0,0,0,0
03/06/20 12:56:28:1398,0,0,0,0
03/06/20 12:56:33:7754,34,35,38,34
03/06/20 12:56:34:9701,46,46,48,48
03/06/20 12:56:35:1741,50,49,51,50
03/06/20 12:56:36:6870,49,49,49,48
03/06/20 12:56:36:8851,50,48,49,49
03/06/20 12:56:37:3925,50,51,49,49
03/06/20 12:56:37:8963,50,52,51,50
03/06/20 12:56:38:1971,32,41,12,43
03/06/20 12:56:40:3941,49,48,48,48
03/06/20 12:56:40:5787,50,51,51,49
03/06/20 12:56:42:3987,37,38,38,38
03/06/20 12:56:43:0066,49,48,48,49
03/06/20 12:56:43:2944,49,51,49,50
03/06/20 12:56:45:0963,38,37,38,38
03/06/20 12:56:45:7135,50,51,49,48
03/06/20 12:56:48:8367,49,49,49,49
03/06/20 12:56:51:8689,48,50,47,49
03/06/20 12:56:52:3615,49,50,50,51
03/06/20 12:56:53:1706,15,17,11,0
03/06/20 12:56:57:9773,63,42,44,42
03/06/20 12:57:02:6600,50,50,50,49
03/06/20 12:57:05:7679,39,38,38,36
03/06/20 12:57:06:4697,46,42,36,28
03/06/20 12:57:07:8864,49,48,49,48
03/06/20 12:57:10:2922,39,45,40,31
03/06/20 12:57:11:8002,33,33,31,31
03/06/20 12:57:16:1134,30,19,53,29
03/06/20 12:57:17:2332,11,4,2,10
03/06/20 12:57:20:3216,50,48,49,48
03/06/20 12:57:20:6294,47,49,49,46
03/06/20 12:57:20:8193,48,49,49,49
03/06/20 12:57:22:5215,60,23,64,40
03/06/20 13:03:41:4800,0,0,0,0
03/06/20 13:03:45:8186,0,0,0,0
03/06/20 13:03:56:9819,0,0,0,0
03/06/20 13:04:09:9985,50,48,50,48
03/06/20 13:04:10:3995,12,12,0,2
03/06/20 13:04:11:8994,19,29,20,17
03/06/20 13:04:12:7891,37,37,38,36
03/06/20 13:04:15:2899,49,49,48,48
03/06/20 13:04:15:5060,50,48,50,49
03/06/20 13:04:17:2079,4,5,20,21
03/06/20 13:04:19:2154,49,49,50,49
03/06/20 13:04:19:4160,1,0,18,15
03/06/20 13:04:27:1977,49,48,49,48
03/06/20 13:04:30:1261,47,47,48,49
03/06/20 13:04:30:7215,18,19,8,0
03/06/20 13:04:36:3156,48,48,48,48
03/06/20 13:04:36:3847,33,33,31,31
03/06/20 13:04:36:4003,26,24,23,6
03/06/20 13:04:36:4003,37,36,38,35
03/06/20 13:05:12:9310,0,0,0,0
03/06/20 13:05:13:5481,0,0,0,0
03/06/20 13:05:27:1965,0,0,0,0
03/06/20 13:05:44:4305,0,0,0,0
03/06/20 13:06:11:5445,0,0,0,0
03/06/20 13:06:18:2053,0,0,0,0
03/06/20 13:17:15:2657,0,0,0,0
03/06/20 13:17:25:1672,0,0,0,0
03/06/20 13:17:28:9820,0,0,0,0
03/06/20 13:18:29:3853,4,8,8,2
03/06/20 13:18:45:9363,0,12,7,4
03/06/20 13:18:46:2364,0,10,6,4
03/06/20 13:18:48:5439,8,8,5,4
03/06/20 13:19:13:5727,0,0,0,0
03/06/20 13:19:28:9732,11,2,0,8
03/06/20 13:20:26:0926,0,0,0,0
03/06/20 13:20:31:0307,0,0,0,0
03/06/20 13:20:32:3404,2,2,0,0
03/06/20 13:22:44:8470,0,0,0,0
03/06/20 13:24:47:8862,46,47,46,44
